# q^2 <|h(q)|^2> <|t(q)|^2>
0.0 0.013828232972714311 1506.6751583268328
0.17545956079047115 1.3318078822492083 0.3129414240333128
0.7018382431618846 0.25648201318394653 0.26467807538951
1.5791360471142404 0.17468927984330587 0.2757349329337868
2.8073529726475384 0.28409629780579165 0.3911248741883546
1.5791360471142404 0.17468927984330587 0.2757349329337868
0.7018382431618846 0.25648201318394653 0.26467807538951
0.17545956079047115 1.3318078822492083 0.3129414240333128
0.17545956079047115 1.192403087843431 0.22675719212548917
0.3509191215809423 0.8999188675794844 0.3023978181411983
0.8772978039523558 0.23400402659426947 0.28610800767538247
1.7545956079047116 0.21971180777693436 0.2761669148504189
2.9828125334380093 0.2892272310714086 0.5056471559699168
1.7545956079047116 0.17745968723261474 0.2737455846892999
0.8772978039523558 0.22078732076383595 0.314287903708591
0.3509191215809423 1.027999436636441 0.3307350515674892
0.7018382431618846 0.21829577436646766 0.31059438513688936
0.8772978039523558 0.20572355859866515 0.27815627162248036
1.4036764863237692 0.21510477816780205 0.30748729519643925
2.280974290276125 0.18580518347226058 0.4066279699176972
3.509191215809423 0.42820262752337584 0.6804576122662945
2.280974290276125 0.16735031934970956 0.46286310322124835
1.4036764863237692 0.19808657988960088 0.30931173617131824
0.8772978039523558 0.24699172063947042 0.27201279117221183
1.5791360471142404 0.17643993223268264 0.3090882387100248
1.7545956079047116 0.16917306362147666 0.30144057798328866
2.280974290276125 0.2572732078222317 0.496020658794577
3.1582720942284808 0.2537901527376989 0.6340378939217932
4.386489019761779 0.3992908146027332 1.0545579312653164
3.1582720942284808 0.2665130105178538 0.612798380867292
2.280974290276125 0.23928982741442426 0.4749981105351497
1.7545956079047116 0.19159673574684136 0.37178144965460247
2.8073529726475384 0.25763109368155773 0.390874046326039
2.9828125334380093 0.28537180308968785 0.4830545683263545
3.509191215809423 0.3345315249761648 0.6954033660076514
4.386489019761779 0.4497119682654951 1.1504630065015617
5.614705945295077 0.6942139569631846 1.5387086220152415
4.386489019761779 0.4497119682654951 1.1504630065015617
3.509191215809423 0.3345315249761648 0.6954033660076514
2.9828125334380093 0.28537180308968785 0.4830545683263545
1.5791360471142404 0.17643993223268264 0.3090882387100248
1.7545956079047116 0.19159673574684136 0.37178144965460247
2.280974290276125 0.23928982741442426 0.4749981105351497
3.1582720942284808 0.2665130105178538 0.612798380867292
4.386489019761779 0.3992908146027332 1.0545579312653164
3.1582720942284808 0.2537901527376989 0.6340378939217932
2.280974290276125 0.2572732078222317 0.496020658794577
1.7545956079047116 0.16917306362147666 0.30144057798328866
0.7018382431618846 0.21829577436646766 0.31059438513688936
0.8772978039523558 0.24699172063947042 0.27201279117221183
1.4036764863237692 0.19808657988960088 0.30931173617131824
2.280974290276125 0.16735031934970956 0.46286310322124835
3.509191215809423 0.42820262752337584 0.6804576122662945
2.280974290276125 0.18580518347226058 0.4066279699176972
1.4036764863237692 0.21510477816780205 0.30748729519643925
0.8772978039523558 0.20572355859866515 0.27815627162248036
0.17545956079047115 1.192403087843431 0.22675719212548917
0.3509191215809423 1.027999436636441 0.3307350515674892
0.8772978039523558 0.22078732076383595 0.314287903708591
1.7545956079047116 0.17745968723261474 0.2737455846892999
2.9828125334380093 0.2892272310714086 0.5056471559699168
1.7545956079047116 0.21971180777693436 0.2761669148504189
0.8772978039523558 0.23400402659426947 0.28610800767538247
0.3509191215809423 0.8999188675794844 0.3023978181411983
